Date,Type,Link
2024-04-16 14:20:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7184884584801615874?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7184884584801615874%2C7184886276444045312%29
2024-04-16 14:20:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7184884584801615874?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7184884584801615874%2C7184885320125927425%29
2024-04-13 16:30:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7184884584801615874?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7184884584801615874%2C7184938773267275776%29
2024-04-13 12:06:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7184884584801615874
2024-04-13 12:01:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184824800702332928
2024-04-10 17:33:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7183768774313930752?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7183768774313930752%2C7183769629809340417%29
2024-04-10 10:07:28,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7183531788353380354?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7183531788353380354%2C7183699757918289920%29
2024-04-10 10:04:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7183682613432184834
2024-04-09 18:35:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7183531788353380354
2024-04-08 06:03:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7182965323023704065
2024-04-07 14:57:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7182752684637085696
2024-04-07 14:57:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7182752684637085696?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7182752684637085696%2C7182753105527136257%29
2024-04-06 15:15:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7182394145229926400
2024-04-06 15:15:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7181660869636886531?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7181660869636886531%2C7181677249648029696%29
2024-04-06 15:14:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7181942134650859521
2024-04-05 07:38:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7181829945877291009
2024-04-04 17:03:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7180475690033557504
